City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
384,puerto santa,-8.9906,-78.6456,20.34,84,46,4.39,PE,1698269994
385,rongelap,11.1635,166.8941,28.12,75,81,6.4,MH,1698269995
386,pangai,-19.8,-174.35,23.1,71,100,10.22,TO,1698269996
387,al bayda',32.7627,21.7551,19.78,47,100,1.83,LY,1698269997
388,harper,4.375,-7.7169,25.6,88,100,2.18,LR,1698269998
389,mukher,18.7,77.3667,19.11,62,39,0.71,IN,1698269998
390,kalianget,-7.05,113.9333,26.97,78,92,3.69,ID,1698269999
391,prince rupert,54.3161,-130.3201,9.05,45,0,4.63,CA,1698270000
392,lazaro cardenas,17.9583,-102.2,27.86,78,100,2.01,MX,1698270002
393,mil'kovo,55.6078,37.7956,-0.53,73,65,2.97,RU,1698270003
394,oyem,1.5995,11.5793,19.06,99,100,1.12,GA,1698270004
395,novyy urengoy,66.0833,76.6333,-5.89,92,88,3.45,RU,1698270005
396,pinotepa nacional,16.3167,-98.0167,28.78,70,100,2.87,MX,1698270006
397,languyan,5.2618,120.0807,26.02,80,40,0.53,PH,1698270007
398,smidovich,48.6,133.8167,4.41,85,69,2.43,RU,1698270008
399,iskateley,67.6803,53.1512,-0.55,96,100,6.71,RU,1698270009
400,malmberget,67.1753,20.6549,-3.69,93,100,2.57,SE,1698270010
401,bubaque,11.2833,-15.8333,28.59,75,100,3.84,GW,1698270010
402,copala,16.65,-98.9833,28.37,78,100,4.24,MX,1698270011
403,daru,-9.0763,143.2092,25.82,68,69,3.39,PG,1698270012
404,arapgir,39.0412,38.4952,16.2,55,100,1.41,TR,1698270013
405,nuuk,64.1835,-51.7216,-0.66,69,75,2.57,GL,1698270014
406,minas de marcona,-15.2119,-75.1103,17.12,72,72,5.46,PE,1698270015
407,sur,22.5667,59.5289,26.35,67,11,5.21,OM,1698270016
408,al bawiti,28.3492,28.8659,22.03,58,0,4.05,EG,1698270017
409,nar'yan-mar,67.6713,53.087,-0.5,96,100,6.71,RU,1698270018
410,ta`u,-14.2336,-169.5144,26.07,74,81,8.72,AS,1698270019
411,colonia menno,-22.3667,-59.8167,28.45,62,60,4.08,PY,1698270019
412,guatire,10.4762,-66.5427,27.33,97,100,0.68,VE,1698270020
413,miami,25.7743,-80.1937,28.01,70,100,7.2,US,1698269325
414,zemio,5.0314,25.1361,21.18,97,100,1.26,CF,1698270022
415,la sarre,48.8002,-79.1996,5.71,92,100,1.63,CA,1698270023
416,langley,49.083,-122.5859,12.14,42,40,11.83,CA,1698270024
417,chakulia,22.4833,86.7167,22.4,75,4,2.19,IN,1698270025
418,egilsstadir,65.2653,-14.3948,-0.05,100,40,1.54,IS,1698270026
